frame,enemy,state,archetype,x,z,dist
51,2,patrol,swarm,-4.61,-8.08,18.66
51,3,patrol,bruiser,9.71,-8.18,20.61
51,4,patrol,pouncer,2.53,-12.80,22.94
52,1,patrol,swarm,-8.10,-5.75,17.71
52,2,patrol,swarm,-4.62,-8.06,18.65
52,3,patrol,bruiser,9.73,-8.18,20.62
52,4,patrol,pouncer,2.52,-12.78,22.92
53,1,patrol,swarm,-8.11,-5.75,17.72
53,2,patrol,swarm,-4.63,-8.05,18.63
53,3,patrol,bruiser,9.74,-8.19,20.63
53,4,patrol,pouncer,2.52,-12.76,22.90
54,1,patrol,swarm,-8.13,-5.75,17.72
54,2,patrol,swarm,-4.64,-8.03,18.62
54,3,patrol,bruiser,9.75,-8.19,20.64
54,4,patrol,pouncer,2.51,-12.74,22.88
55,1,patrol,swarm,-8.15,-5.74,17.73
55,2,patrol,swarm,-4.65,-8.02,18.61
55,3,patrol,bruiser,9.76,-8.19,20.65
55,4,patrol,pouncer,2.50,-12.72,22.86
56,1,patrol,swarm,-8.17,-5.74,17.73
56,2,patrol,swarm,-4.66,-8.00,18.60
56,3,patrol,bruiser,9.77,-8.19,20.65
56,4,patrol,pouncer,2.49,-12.70,22.83
57,1,patrol,swarm,-8.19,-5.73,17.74
57,2,patrol,swarm,-4.67,-7.99,18.59
57,3,patrol,bruiser,9.79,-8.20,20.66
57,4,patrol,pouncer,2.48,-12.68,22.81
58,1,patrol,swarm,-8.20,-5.73,17.74
58,2,patrol,swarm,-4.68,-7.97,18.57
58,3,patrol,bruiser,9.80,-8.20,20.67
58,4,patrol,pouncer,2.48,-12.66,22.79
59,1,patrol,swarm,-8.22,-5.73,17.75
59,2,patrol,swarm,-4.69,-7.96,18.56
59,3,patrol,bruiser,9.81,-8.20,20.68
59,4,patrol,pouncer,2.47,-12.64,22.77
60,1,patrol,swarm,-8.24,-5.72,17.75
60,2,patrol,swarm,-4.71,-7.94,18.55
60,3,patrol,bruiser,9.82,-8.21,20.69
60,4,patrol,pouncer,2.46,-12.62,22.75
61,1,patrol,swarm,-8.26,-5.72,17.75
61,2,patrol,swarm,-4.71,-7.93,18.54
61,3,patrol,bruiser,9.83,-8.21,20.69
61,4,patrol,pouncer,2.45,-12.60,22.73
62,1,patrol,swarm,-8.28,-5.71,17.76
62,2,patrol,swarm,-4.73,-7.91,18.52
62,3,patrol,bruiser,9.85,-8.21,20.70
62,4,patrol,pouncer,2.45,-12.58,22.71
63,1,patrol,swarm,-8.29,-5.71,17.76
63,2,patrol,swarm,-4.74,-7.90,18.51
63,3,patrol,bruiser,9.86,-8.22,20.71
63,4,patrol,pouncer,2.44,-12.56,22.69
64,1,patrol,swarm,-8.31,-5.71,17.77
64,2,patrol,swarm,-4.75,-7.88,18.50
64,3,patrol,bruiser,9.87,-8.22,20.72
64,4,patrol,pouncer,2.43,-12.54,22.67
65,1,patrol,swarm,-8.33,-5.70,17.77
65,2,patrol,swarm,-4.76,-7.87,18.49
65,3,patrol,bruiser,9.88,-8.22,20.73
65,4,patrol,pouncer,2.42,-12.52,22.65
66,1,patrol,swarm,-8.35,-5.70,17.78
66,2,patrol,swarm,-4.77,-7.85,18.48
66,3,patrol,bruiser,9.89,-8.22,20.74
66,4,patrol,pouncer,2.41,-12.50,22.63
67,1,patrol,swarm,-8.37,-5.69,17.78
